uuid,latitude,longitude,storeType,city,countryCode,houseNumber,houseNumberExtra,postalCode,street,openingDays,machineWorking,supermarketBranch
gmcKYx4X5HEAAAFIdhIYwKxK,52.264417,4.762433,SupermarktPuP,,NLD,124,,,Ophelialaan,{},,jumbo
gssKYx4XJwoAAAFbn.BMqPTb,52.264417,4.762433,SupermarktPuP,Aalsmeer,NLD,124,,1431 HN,Ophelialaan,{},,jumbo
zkIKYx4XXxcAAAFI7CMYwKxK,51.399843,5.469597,SupermarktPuP,,NLD,2,,,Hortensialaan,{},,jumbo
WbQKY7MydcoAAAGKfZA359kj,51.399843,5.469597,SupermarktPuP,Aalst,NLD,2,,5582 CL,Hortensialaan,{},,jumbo
0XcKYx4XNRQAAAFI3LgYwKxK,51.923993,6.576066,SupermarktPuP,Aalten,NLD,10,,7122 WJ,Admiraal de Ruyterstraat,{},,jumbo
DlUKY7S1QFcAAAGCZ.h4Vlvn,51.275006,3.444601,SupermarktPuP,Aardenburg,NLD,21,,4527 BK,Peurssensstraat,{},,jumbo
V7cKYx4X0QUAAAFMTmYM5CXj,52.645601,4.749492,SupermarktPuP,Alkmaar,NLD,416,,1824 XT,Muiderwaard,{},,jumbo
lFoKYx4X5PcAAAFIjrwYwKxJ,52.665822,4.766146,SupermarktPuP,Alkmaar,NLD,49-51,,1827 LB,J. Naberstraat,{},,jumbo
HLkKYx4XyjkAAAFICUgYwKxK,52.633740,4.745031,SupermarktPuP,Alkmaar,NLD,2,,1811 KH,Paardenmarkt,{},,jumbo
kiAKYx4XTw4AAAFKH9h0LVDS,52.645642,4.759373,SupermarktPuP,Alkmaar,NLD,486,,1824 HX,Winkelwaard,{},,jumbo
ApoKYx4XqrYAAAFT48gG6uPF,52.349813,6.660543,SupermarktPuP,Almelo,NLD,79,,7601 BD,Bornerbroeksestraat,{},,jumbo
gi8KYx4XGtUAAAFIQlIYwKxK,52.384906,5.224110,SupermarktPuP,Almere,NLD,32-37,,1316 HC,Geinplein,{},,jumbo
MKUKYx4XUdYAAAFJpwcYZ4CR,52.395474,5.274883,SupermarktPuP,Almere-Buiten,NLD,1,,1334 KB,Detroitpad,{},,jumbo
A4UKYx4XavkAAAFI3soYwKxJ,52.336693,5.231883,SupermarktPuP,Almere-Haven,NLD,250,,1356 AZ,Jaagmeent,{},,jumbo
iWwKYx4Xu7gAAAFNmhtasGod,52.150632,4.661277,SupermarktPuP,Alphen aan den Rijn,NLD,183,,2402 DK,Herenhof,{},,jumbo
xf0KYx4XpRcAAAFIL5EYwKxK,52.002437,5.461122,SupermarktPuP,Amerongen,NLD,36,,3958 XH,Koenestraat,{},,jumbo
iiIKYx4XwVgAAAFMzechgUnv,52.185990,5.398059,SupermarktPuP,Amersfoort,NLD,248,,3823 ET,Emiclaerhof,{},,jumbo
3kIKYx4XYocAAAFNDH47frdc,52.199279,5.376590,SupermarktPuP,Amersfoort,NLD,21,,3824 EE,Zonnewijzer,{},,jumbo
xSgKYx4XXk0AAAFTOqsG6pvj,52.143866,5.381369,SupermarktPuP,Amersfoort,NLD,152,,3817 KD,Leusderweg,{},,jumbo
9_wKYx4XGYkAAAFILMQYwKxJ,52.173049,5.389766,SupermarktPuP,Amersfoort,NLD,6-8,,3813 PR,Pieter Stastokerf,{},,jumbo
qAIKYx4Xn9wAAAFIqgQYwKxK,52.193992,5.430602,SupermarktPuP,Amersfoort,NLD,1,,3825 LS,Ursulapolder,{},,jumbo
zT0KYx4X_ZsAAAFI39EYwKxJ,52.166540,5.409000,SupermarktPuP,Amersfoort,NLD,261,,3815 GK,Wiekslag,{},,jumbo
yTEKYx4Xq8IAAAFIg1QYwKxK,52.289047,4.869239,SupermarktPuP,Amstelveen,NLD,165,,1186 EZ,Groenhof,{},,jumbo
OlQKYx4Xd4IAAAFYVp9bFbLM,52.314032,4.862680,SupermarktPuP,Amstelveen,NLD,617-635,,1181 GV,Rembrandtweg,{},,jumbo
vm8KYx4XG08AAAFif2U0nIjb,52.363928,4.874795,SupermarktPuP,Amsterdam,NLD,55H,,1054 BS,1e Constantijn Huygensstraat,{},,jumbo
UJYKYx4X8vEAAAFM1eJYQQHW,52.358817,4.855152,SupermarktPuP,Amsterdam,NLD,303-305,,1058 AH,Baarsjesweg,{},,jumbo
vCoKYx4X08YAAAFIiL8YwKxJ,52.399066,4.935776,SupermarktPuP,Amsterdam,NLD,52,,1025 EW,Buikslotermeerplein,{},,jumbo
f.AKYx4XC_IAAAFIvaoYwKxK,52.324550,4.868105,SupermarktPuP,,NLD,184,,,Buitenveldertselaan,{},,jumbo
SqYKYx4XpCAAAAFg4NQKf5qv,52.324550,4.868105,SupermarktPuP,Amsterdam,NLD,184,,1081 AC,Buitenveldertselaan,{},,jumbo
Y6IKYx4XkTsAAAFITxkYwKxK,52.349779,4.786455,SupermarktPuP,Amsterdam,NLD,808,,1060 TZ,Pieter Calandlaan,{},,jumbo
Ao4KYx4XjhcAAAFi_s0ophzs,52.354061,4.890952,SupermarktPuP,Amsterdam,NLD,89B,,1072 LD,Ferdinand Bolstraat,{},,jumbo
5KsKYx4XUj8AAAFJ7S5Gp2Rc,52.383263,4.919767,SupermarktPuP,Amsterdam,NLD,223,,1021 KP,Gedempt Hamerkanaal,{},,jumbo
CiYKYx4XHvkAAAFIDkkYwKxK,52.351722,4.860463,SupermarktPuP,Amsterdam,NLD,9,,1075 PA,H. Jacobszstraat,{},,jumbo
M5sKY7OwwcoAAAF4XF5GZeyh,52.369500,4.902940,SupermarktPuP,Amsterdam,NLD,11,,1011 NG,Jodenbreestraat,{},,jumbo
eZAKY7Nw7SUAAAGJTMI4l_aL,52.345990,4.920140,SupermarktPuP,Amsterdam,NLD,48,,1097 DN,Julianaplein,{},,jumbo
KcsKY7WfY2gAAAF06N1L.msQ,52.355840,4.928243,SupermarktPuP,Amsterdam,NLD,245,,1093 ER,Linnaeusstraat,{},,jumbo
yx0KY7VS2SEAAAFzxdtPkdre,52.297414,4.957262,SupermarktPuP,Amsterdam,NLD,1,,1105 AW,Markelerbergpad,{},,jumbo
bBkKYx4XaBwAAAFNDfk7fpNP,52.374447,4.935351,SupermarktPuP,Amsterdam,NLD,1005,,1019 BW,Oostelijke Handelskade,{},,jumbo
81kKY7S5TnMAAAFyAy1Mo5Zu,52.357891,4.804324,SupermarktPuP,Amsterdam,NLD,1014,,1068 TG,Osdorpplein,{},,jumbo
Gb8KYx4XfJMAAAFU9ZYHUsZd,52.380655,4.821771,SupermarktPuP,Amsterdam,NLD,12,,1063 KR,Plein '40-'45,{},,jumbo
.6YKY7WWMOYAAAGPEGs8FeCZ,52.294533,4.976122,SupermarktPuP,Amsterdam,NLD,196,,1107 ET,Reigersbos,{},,jumbo
qisKYx4X6wwAAAFY.DNSOmWN,52.389402,4.879655,SupermarktPuP,Amsterdam,NLD,544,,1013 TH,Spaarndammerstraat,{},,jumbo
w8kKYx4XMdgAAAFIIQIYwKxK,52.326242,4.883150,SupermarktPuP,Amsterdam,NLD,70,,1083 CD,Kastelenstraat,{},,jumbo
R74KYx4XucoAAAFIqY8YwKxK,52.378670,4.883832,SupermarktPuP,Amsterdam,NLD,98-102,,1015 MN,Westerstraat,{},,jumbo
